 NF , LCD , NucleusArea , CellArea , percentProtrusion , protrusion_extent ,NucIntegratedH,logNucbyRing488 (Yap)
0.892473,62.3441,392,720,0,0,85506.568,0.0811021
1,63.3714,399,1336,4.04192,0.164179,78899.856,-0.143876
1,73.0994,363,1803,0,0.144279,93575.229,-0.0466918
1,33.2116,619,2571,0,0.031746,76755.381,0.14692
1,70.028,349,954,0,0,63077.562,-0.0855777
1,98.5222,386,633,12.7962,0.395833,88221.458,-0.200446
1,74.239,318,1769,0,0,83219.646,-0.0318005
0.960526,94.6074,365,1293,0,0,77567.61,0.0708389
1,80.8407,515,947,0,0,111066.96,-0.148488
1,54.8546,485,685,0,0,80946.5,-0.117343
0.921053,64.4745,419,1637,0,0.0263158,83615.221,0.0543634
1,88.1057,342,791,0,0,89326.98,-0.0580267
1,40.1929,546,2260,0,0.0292398,69791.358,0.00392211
1,89.7666,463,980,0,0,100251.538,-0.110309
1,86.8056,395,1541,0,0,98501.545,-0.119756
1,43.8404,504,2115,0,0,128793.672,-0.0458986
1,86.0585,372,1653,0,0,64574.364,-0.0259838
0.95625,51.8135,405,1906,0,0,85840.56,0.0578954
1,99.108,409,2418,0,0,83665.449,-0.103443
0.97006,59.0319,490,1451,0,0,185277.82,-0.00612994
1,62.3053,450,1141,0,0,108062.55,-0.0842002
0.839744,39.8565,415,1815,0,0.0261438,92128.34,0.11746
1,77.3994,353,1737,0,0,89826.145,-0.127076
1,53.2481,541,1639,0,0,188074.322,-0.1018
1,65.0195,301,1416,0,0,60029.032,-0.0329119
1,60.35,498,1678,0,0,150846.69,-0.0274751
1,63.7349,483,2165,0,0,65409.792,0.138262
0.949721,67.4764,329,1741,0,0,94911.565,-0.106097
0.65,40.1606,345,1766,3.68063,0.315068,91215.585,0.113722
0.958904,71.582,299,1631,0,0,124105.631,0.159885
0.856164,64.6412,364,1398,2.93276,0.163121,74248.72,-0.082969
1,46.5333,395,1666,0,0,71743.85,-0.0965121
1,53.135,440,2578,0,0.0964467,79140.16,-0.100167
1,103.199,363,609,0,0.0898876,102016.431,-0.0811474
1,95.6938,357,695,0,0,68652.528,-0.00681639
1,58.8235,494,1720,0,0,164365.656,-0.061921
0.905325,54.5852,462,1570,6.56051,0.155405,97280.568,-0.0175824
1,65.6599,401,1474,0,0,69329.291,-0.0148898
1,65.3168,438,807,0,0.0504202,92492.022,-0.0270067
0.917722,40.3551,377,1818,0,0.109589,88350.704,0.0620288
1,63.7349,376,1618,0,0,72620.264,-0.0355504
1,77.0416,383,1253,0,0.0714286,83433.103,0.00165018
1,52.7983,457,1144,0,0,52650.056,0.0343561
0.95625,68.306,430,1835,0,0,87028.99,0.0228329
1,82.9187,455,1133,0,0,94079.895,0.0144801
1,72.8863,386,2061,0,0.00985222,56841.974,-0.055288
1,88.4956,372,1347,0,0,80110.2,-0.105074
1,53.1915,376,792,0,0.0825688,66137.648,0.0502135
1,73.9645,417,1101,0,0,87323.553,0.0332731
1,55.2486,417,1752,0,0,73815.255,-0.0726572
1,73.9645,380,3214,1.74238,0.0215827,59055.8,-0.122909
1,67.2948,422,1203,0,0,53691.482,-0.0318215
0.951515,56.2746,422,1816,4.12996,0.117284,82700.184,0.14319
1,112.74,391,658,0,0,56264.509,-0.0733625
1,50,423,1071,0,0,64526.958,-0.0235453
1,95.9693,198,1637,0,0,58778.28,-0.0784599
1,68.6342,338,1130,0,0.0569106,53016.99,-0.0709186
0.927928,37.2162,619,3363,9.00981,0.246231,150697.407,0.112126
0.584337,35.1865,471,2298,4.48216,0.218543,158659.176,0.0425
0.775862,17.5623,1041,4243,8.27245,0.257353,269928.177,-0.0192943
1,47.8698,597,1341,0,0,123780.786,-0.0231085
1,46.7727,478,1796,0,0,97797.366,0.036555
0.867403,56.3698,488,2174,5.15179,0.140351,162062.36,-0.0415915
1,56.8182,472,2002,0,0,152469.216,-0.0457407
0.844,30.6843,485,3556,15.2981,0.211538,105429.3,-0.0666226
1,55.1876,449,1696,7.66509,0.12987,129898.394,-0.119878
1,80.0641,463,3039,0,0.100694,140481.145,-0.0885971
1,73.4754,527,1255,13.1474,0.26087,146270.958,-0.215443
1,54.5554,520,1760,0,0,118666.6,0.0791934
1,79.5545,423,2082,2.97791,0.157025,127298.889,-0.195206
1,47.3261,561,2239,0,0,115339.356,-0.0227068
1,46.3177,555,2347,0,0,170074.2,-0.0952991
1,60.7165,547,2040,0,0,149841.898,-0.0588941
1,86.5052,426,1092,0,0,83651.064,-0.0308482
1,49.8753,483,1609,0,0,142515.429,0.0580883
1,51.6796,579,1412,0,0,94407.108,-0.0845649
1,57.6037,537,2040,0,0,145721.931,-0.160952
1,48.9716,532,2173,0,0.0520231,146812.848,0.0820488
1,71.7875,570,2017,0,0,127564.86,-0.135876
